ID,NEXT,MPHON,FEAT,BASEF,FLAG
Words,/v,puno,,punoa,
Words,/v,kie{kØ}u,,kiekua,
Words,/v,kiin{tn}y,,kiintyä,
Words,/v,muist{aØe},,muistaa,
Words,/v,joh{td}{aØe},,johtaa,
Words,/v,kylv{äØe},,kylvää,
Words,/v,nyh{td}{äØe},,nyhtää,
Words,/v,kaa{tds}{aØe},,kaataa,
Words,/v,huu{tds}{aØe},,huutaa,
Words,/v,pyy{tds}{äØe},,pyytää,
Words,/v,löy{tds}{äØe},,löytää,
Words,/v,sou{tds}{aØe},,soutaa,
Words,/v,hää{tds}{äØe},,häätää,
Words,/v,puol{tls}{aØe},,puoltaa,
Words,/v,yl{tls}{äØe},,yltää,
Words,/v,mur{trs}{aØe},,murtaa,
Words,/v,piir{trs}{äØe},,piirtää,
Words,/v,sor{trs}{aØe},,sortaa,
Words,/v,pahen{tns}{aØe},,pahentaa,
Words,/v,myön{tns}{äØe},,myöntää,
Words,/v,kaiv{aoe},,kaivaa,
Words,/v,ah{td}{aoe},,ahtaa,
Words,/v,haast{aoØe},,haastaa,
Words,/v,lait{tØ}{aoØe},,laittaa,
Words,/v,paist{aoØe},,paistaa,
Words,/v,tait{tØ}{aoØe},,taittaa,
Words,/v,saar{trs}{aoØe},,saartaa,
Words,/v,lask{eiØ},,laskea,
Words,/v,lu{kØ}{eiØ},,lukea,
Words,/v,tun{tns}{eiØ},,tuntea,
Words,/v,po{tds}{eiØ},,potea,
Words,lä-hte/v,lä,,lähteä,
Words,/v,sall{iØ},,sallia,
Words,/v,on{kg}{iØ},,onkia,
Words,/v,om{iØ},,omia,
Words,/v,op{pØ}{iØ},,oppia,
Words,/v,ajeleh{td}{iØ},,ajelehtia,
Words,/v,vo{iØ},,voida,
Words,/v,na{iØ},,naida,
Words,/v,revido{iØ},,revidoida,
Words,/v,yksilö{iØ},,yksilöidä,
Words,/v,sa{VØ},,saada,
Words,/v,jä{VØ},,jäädä,
Words,/v,my{VØ},,myydä,
Words,/v,j{uØ}o,,juoda,
Words,/v,l{yØ}ö,,lyödä,
Words,/v,v{iØ}e,,viedä,
Words,kä-y/v,kä,,käydä,
Words,/v,nuolais{eØ},,nuolaista,
Words,/v,vil{kØ}ais{eØ},,vilaista,
Words,/v,vikis{eØ},,vikistä,
Words,/v,lä{pv}äis{eØ},,läväistä,
Words,/v,tul{eØ},,tulla,
Words,/v,niel{eØ},,niellä,
Words,/v,pur{eØ},,purra,
Words,/v,pier{eØ},,pierrä,
Words,/v,men{eØ},,mennä,
Words,/v,pan{eØ},,panna,
Words,/v,katsel{eØe},,katsella,
Words,/v,ajat{tØ}el{eØe},,ajatella,
Words,/v,hymäh{td}el{eØe},,hymähdellä,
Words,/v,arvail{eØe},,arvailla,
Words,/v,pälyil{eØe},,pälyillä,
Words,haravo-i/v,haravo,,haravoida,
Words,haravo-i/v,näpelö,,näpelöidä,
Words,vali-tse/v,vali,,valita,
Words,vali-tse/v,häiri,,häiritä,
Words,vali-tse/v,tilki,,tilkitä,
Words,juo-kse/v,juo,,juosta,
Words,juo-kse/v,pie,,piestä,
Words,nä-ke/v,te,,tehdä,
Words,nä-ke/v,nä,,nähdä,
Words,ale-ne/v,hap{pØ}a,,hapata,
Words,ale-ne/v,er{kØ}a,,erata,
Words,ale-ne/v,pa{kØ}e,,paeta,
Words,ale-ne/v,vanhe,,vanheta,
Words,ale-ne/v,oi{kØ}e,,oieta,
Words,ale-ne/v,roh{kj}e,,rohjeta,
Words,ale-ne/v,ur{kj}e,,urjeta,
Words,ale-ne/v,to{kØ}e,,toeta,
Words,ale-ne/v,synk{kØ}e,,synketä,
Words,ale-ne/v,ene,,enetä,
Words,sala-V/v,sala,,salata,
Words,sala-V/v,talla,,tallata,
Words,sala-V/v,val{tl}a,,vallata,
Words,sala-V/v,tem{pm}a,,temmata,
Words,sala-V/v,suun{tn}a,,suunnata,
Words,sala-V/v,kip{pØ}a,,kipata,
Words,sala-V/v,pump{pØ}a,,pumpata,
Words,sala-V/v,sot{tØ}a,,sotata,
Words,sala-V/v,mu{kØ}a,,muata,
Words,sala-V/v,rava,,ravata,
Words,sala-V/v,ra{pv}a,,ravata,
Words,sala-V/v,sal{pv}a,,salvata,
Words,sala-V/v,myö{td}ä,,myödätä,
Words,sala-V/v,i{kØ}ä,,iätä,
Words,sala-V/v,pel{kj}ä,,peljätä,
Words,sala-V/v,pel{kØ}ä,,pelätä,
Words,katke-A/v,to{td}e,,todeta,
Words,katke-A/v,katke,,katketa,
Words,katke-A/v,oi{kØ}e,,oieta,
Words,katke-A/v,loh{kj}e,,lohjeta,
Words,katke-A/v,hal{kj}e,,haljeta,
Words,katke-A/v,kam{pm}e,,kammeta,
Words,katke-A/v,rau{kØ}e,,raueta,
Words,katke-A/v,tel{kj}e,,teljetä,
Words,katke-A/v,nime,,nimetä,
Words,selvi-A/v,läm{pm}i,,lämmitä,
Words,selvi-A/v,selvi,,selvitä,
Words,selvi-A/v,si{kØ}i,,siitä,
Words,koho-A/v,la{kØ}o,,laota,
Words,koho-A/v,pa{td}o,,padota,
Words,koho-A/v,sin{kg}o,,singota,
Words,koho-A/v,se{kØ}o,,seota,
Words,koho-A/v,koho,,kohota,
Words,koho-A/v,ko{kØ}o,,koota,
Words,koho-A/v,jymy,,jymytä,
Words,halu-A/v,lii{td}u,,liiduta,
Words,halu-A/v,kum{pm}u,,kummuta,
Words,halu-A/v,halu,,haluta,
Words,halu-A/v,ki{pv}u,,kivuta,
Words,halu-A/v,äly,,älytä,
Words,halu-A/v,öljy,,öljytä,
Words,halu-A/v,ryöp{pØ}y,,ryöpytä,
Words,pala-V/v,pala,,palata,
Words,pala-V/v,kai{pv}a,,kaivata,
Words,pala-V/v,hyl{kj}ä,,hyljätä,
Words,pala-V/v,hyl{kØ}ä,,hylätä,
Words,pala-V/v,le{pv}ä,,levätä,
Words,kih-ise/v,koh,,kohista,
Words,kih-ise/v,kih,,kihistä,
Words,öl-ise/v,öl,,ölistä,
Words,rake-ntA/v,rake,,rakentaa,
Words,rake-ntA/v,lyhe,,lyhentää,
Words,tai-tA/v,tai,,taitaa,
Words,antau-tU/v,antau,,antautua,
Words,antau-tU/v,repey,,repeytyä,
Words,kaa-ta/v,kaa,,kaata,
Words,kaa-ta/v,tai,,taita,
Words,kaa-ta/v,tu,,tuta,
